"Water escaping from water tanks, pipes, equipment or fixed heating systems:  ",£350  
"Water freezing in tanks, equipment or pipes:  ","£1,000  "
"Subsidence or heave of the land on which the buildings stand, or landslip:  ",£350  
Escape of oil from any fixed domestic oil heating installation:  ,£350  
Previous Claims  
Number of Buildings claims in the past 3 years:  ,0  
Buildings No Claim Discount:  ,5  
Number of Contents claims in past 3 years:  ,0  
"Contents Value of Claim Over £2,500:  ",false  
Contents No Claims Discount:  ,9  
